drain TotalCurrent(B0_2D_IdVg_HighVd_n5_des) X,drain TotalCurrent(B0_2D_IdVg_HighVd_n5_des) Y
0.002,-9.6304372e-16
0.00456,-2.9246511e-16
0.0078624,1.1728487e-16
0.012122496,6.8252604e-17
0.01761802,7.407799e-17
0.024707246,1.0598919e-16
0.033852347,2.1126619e-16
0.045649527,1.6368708e-16
0.06086789,5.0017685e-16
0.080499579,4.7826681e-16
0.10582446,-4.74443e-15
0.13849355,-3.1509568e-13
0.17849355,-1.943777e-16
0.21849355,8.0036667e-16
0.25849355,2.1011869e-15
0.29849355,3.964214e-15
0.33849355,8.1050291e-15
0.37849355,1.8370588e-14
0.41849355,4.0975579e-14
0.45849355,9.5484782e-14
0.49849355,2.2564889e-13
0.53849355,5.3501344e-13
0.57849355,1.2748346e-12
0.61849355,3.0453843e-12
0.65849355,7.279361e-12
0.69849355,1.7365057e-11
0.73849355,4.1207892e-11
0.77849355,9.6875141e-11
0.81849355,2.2438172e-10
0.85849355,5.0919089e-10
0.89849355,1.1265205e-09
0.93849355,2.4209967e-09
0.97849355,5.0434924e-09
1.0184935,1.0176715e-08
1.0584935,1.9892244e-08
1.0984935,3.7692242e-08
1.1384935,6.9291702e-08
1.1784935,1.2367747e-07
1.2184935,2.1441056e-07
1.2584935,3.6098582e-07
1.2984935,5.8983086e-07
1.3384935,9.3435291e-07
1.3784935,1.4336178e-06
1.4184935,2.1298755e-06
1.4584935,3.0656964e-06
1.4984935,4.2813422e-06
1.5384935,5.8125025e-06
1.5784935,7.6883865e-06
1.6184935,9.9303245e-06
1.6584935,1.2551085e-05
1.6984935,1.5554989e-05
1.7384935,1.8938701e-05
1.7784935,2.2692479e-05
1.8184935,2.6801591e-05
1.8584935,3.1247713e-05
1.8984935,3.6010171e-05
1.9384935,4.1066899e-05
1.9784935,4.6395132e-05
2,4.9364098e-05
