drain TotalCurrent(B0_2D_IdVg_LowVd_n5_des) X,drain TotalCurrent(B0_2D_IdVg_LowVd_n5_des) Y
0.002,1.5509733e-16
0.00456,7.591357e-17
0.0078624,1.2288424e-16
0.012122496,-2.6185615e-16
0.01761802,-1.5102418e-16
0.024707246,-1.7055978e-16
0.033852347,-1.258444e-16
0.045649527,2.7794054e-16
0.06086789,-5.3610446e-16
0.080499579,-6.3288838e-17
0.10582446,7.4054333e-17
0.13849355,-9.5684713e-17
0.17849355,2.105291e-16
0.21849355,4.1854229e-16
0.25849355,4.8033823e-16
0.29849355,1.2468645e-15
0.33849355,2.8697306e-15
0.37849355,5.8934895e-15
0.41849355,1.4663485e-14
0.45849355,3.419039e-14
0.49849355,7.9465024e-14
0.53849355,1.8945976e-13
0.57849355,4.5047504e-13
0.61849355,1.0738073e-12
0.65849355,2.5607691e-12
0.69849355,6.1054984e-12
0.73849355,1.4500869e-11
0.77849355,3.418815e-11
0.81849355,7.9608603e-11
0.85849355,1.8203385e-10
0.89849355,4.0637938e-10
0.93849355,8.8127957e-10
0.97849355,1.8495076e-09
1.0184935,3.7467956e-09
1.0584935,7.3139076e-09
1.0984935,1.3729474e-08
1.1384935,2.4699719e-08
1.1784935,4.2362434e-08
1.2184935,6.8913778e-08
1.2584935,1.062086e-07
1.2984935,1.556962e-07
1.3384935,2.1858023e-07
1.3784935,2.9592425e-07
1.4184935,3.8866864e-07
1.4584935,4.97622e-07
1.4984935,6.234572e-07
1.5384935,7.6671575e-07
1.5784935,9.2781735e-07
1.6184935,1.1070718e-06
1.6584935,1.3046916e-06
1.6984935,1.5208036e-06
1.7384935,1.7554609e-06
1.7784935,2.0086521e-06
1.8184935,2.2803112e-06
1.8584935,2.5703251e-06
1.8984935,2.8785407e-06
1.9384935,3.2047715e-06
1.9784935,3.5488025e-06
2,3.7410501e-06
