drain TotalCurrent(IdVg_HighVd_n5_des) X,drain TotalCurrent(IdVg_HighVd_n5_des) Y
0.002,1.319091e-14
0.00456,1.3062858e-14
0.0078624,1.2899034e-14
0.012122496,1.2689965e-14
0.01761802,1.2424045e-14
0.024707246,1.2087329e-14
0.033852347,1.1663589e-14
0.045649527,1.1134583e-14
0.06086789,1.0480915e-14
0.080499579,9.6818962e-15
0.10582446,8.7498299e-15
0.1382403,7.6619023e-15
0.1782403,6.5215111e-15
0.2182403,5.5366491e-15
0.2582403,4.7200049e-15
0.2982403,3.9771671e-15
0.3382403,3.4852238e-15
0.3782403,3.4052224e-15
0.4182403,4.2476291e-15
0.4582403,7.5299965e-15
0.4982403,1.7515844e-14
0.5382403,4.5742835e-14
0.5782403,1.2447374e-13
0.6182403,3.4305666e-13
0.6582403,9.4878626e-13
0.6982403,2.6205358e-12
0.7382403,7.1988059e-12
0.7782403,1.9595397e-11
0.8182403,5.2688232e-11
0.8582403,1.3961142e-10
0.8982403,3.639936e-10
0.9382403,9.3264818e-10
0.9782403,2.3450562e-09
1.0182403,5.7704905e-09
1.0582403,1.3823247e-08
1.0982403,3.1934424e-08
1.1382403,7.010929e-08
1.1782403,1.4357826e-07
1.2182403,2.6978966e-07
1.2582403,4.6195581e-07
1.2982403,7.2443193e-07
1.3382403,1.0535612e-06
1.3782403,1.4414725e-06
1.4182403,1.8792945e-06
1.4582403,2.3587868e-06
1.4982403,2.8728766e-06
1.5382403,3.4156842e-06
1.5782403,3.9823687e-06
1.6182403,4.5689384e-06
1.6582403,5.1720723e-06
1.6982403,5.7889714e-06
1.7382403,6.4172441e-06
1.7782403,7.0548158e-06
1.8182403,7.6998753e-06
1.8582403,8.3508345e-06
1.8982403,9.0063043e-06
1.9382403,9.6650777e-06
1.9782403,1.0326118e-05
2,1.0686352e-05
