drain TotalCurrent(IdVg_HighVd_n5_des) X,drain TotalCurrent(IdVg_HighVd_n5_des) Y
0.002,1.3343283e-14
0.00458,1.321256e-14
0.0079082,1.3045467e-14
0.012201578,1.2832492e-14
0.017740036,1.2562036e-14
0.024884646,1.2220233e-14
0.034101193,1.1791001e-14
0.045990539,1.1256145e-14
0.061327796,1.0594808e-14
0.081112856,9.7864933e-15
0.10663558,8.8353674e-15
0.13904945,7.7448488e-15
0.17904945,6.5834661e-15
0.21904945,5.5824794e-15
0.25904945,4.7029517e-15
0.29904945,4.0119729e-15
0.33904945,3.5277522e-15
0.37904945,3.4780818e-15
0.41904945,4.4410955e-15
0.45904945,8.0355158e-15
0.49904945,1.8876328e-14
0.53904945,4.9635368e-14
0.57904945,1.3553684e-13
0.61904945,3.7440341e-13
0.65904945,1.0374824e-12
0.69904945,2.8705344e-12
0.73904945,7.8981088e-12
0.77904945,2.1529148e-11
0.81904945,5.7957125e-11
0.85904945,1.537185e-10
0.89904945,4.0102514e-10
0.93904945,1.027724e-09
0.97904945,2.5829678e-09
1.0190494,6.3470674e-09
1.0590494,1.516192e-08
1.0990494,3.4858309e-08
1.1390494,7.5959516e-08
1.1790494,1.5399054e-07
1.2190494,2.8596852e-07
1.2590494,4.8396741e-07
1.2990494,7.5120387e-07
1.3390494,1.0834279e-06
1.3790494,1.4726961e-06
1.4190494,1.9103311e-06
1.4590494,2.3883624e-06
1.4990494,2.8999763e-06
1.5390494,3.4395125e-06
1.5790494,4.0023085e-06
1.6190494,4.5845154e-06
1.6590494,5.1829253e-06
1.6990494,5.7948321e-06
1.7390494,6.4179182e-06
1.7790494,7.050172e-06
1.8190494,7.689835e-06
1.8590494,8.3353637e-06
1.8990494,8.9854077e-06
1.9390494,9.6387937e-06
1.9790494,1.0294512e-05
2,1.0638591e-05
