drain TotalCurrent(IdVg_LowVd_n5_des) X,drain TotalCurrent(IdVg_LowVd_n5_des) Y
0.0012,1.8364031e-17
0.002748,1.7686295e-17
0.0047604,1.750019e-17
0.00737652,1.7287753e-17
0.010751315,1.6998938e-17
0.0151048,1.6633296e-17
0.020720796,1.6173194e-17
0.027965431,1.5599064e-17
0.03731101,1.4891068e-17
0.049366807,1.4033455e-17
0.064918785,1.3023724e-17
0.084980836,1.1895707e-17
0.10898084,1.0847525e-17
0.13298084,1.0222428e-17
0.15698084,1.0198977e-17
0.18098084,1.1101933e-17
0.20498084,1.3517463e-17
0.22898084,1.8498382e-17
0.25298084,2.7936134e-17
0.27698084,4.5234028e-17
0.30098084,7.6527622e-17
0.32498084,1.3291961e-16
0.34898084,2.3453989e-16
0.37298084,4.1798657e-16
0.39698084,7.4996058e-16
0.42098084,1.3522857e-15
0.44498084,2.4478948e-15
0.46898084,4.4454306e-15
0.49298084,8.0949953e-15
0.51698084,1.4768117e-14
0.54098084,2.6990942e-14
0.56498084,4.9398819e-14
0.58898084,9.0834953e-14
0.61298084,1.6680377e-13
0.63698084,3.0646499e-13
0.66098084,5.6300324e-13
0.68498084,1.0333446e-12
0.70898084,1.8929737e-12
0.73298084,3.4570022e-12
0.75698084,6.2858911e-12
0.78098084,1.1366108e-11
0.80498084,2.041501e-11
0.82898084,3.6389125e-11
0.85298084,6.4321935e-11
0.87698084,1.126899e-10
0.90098084,1.9561771e-10
0.92498084,3.3640082e-10
0.94898084,5.7306742e-10
0.97298084,9.6704265e-10
0.99698084,1.6164244e-09
1.0209808,2.6758992e-09
1.0449808,4.3857799e-09
1.0689808,7.1126861e-09
1.0929808,1.1403269e-08
1.1169808,1.804887e-08
1.1409808,2.8151515e-08
1.1649808,4.3169399e-08
1.1889808,6.4905648e-08
1.2,7.7691729e-08
