drain TotalCurrent(IdVg_HighVd_n5_des) X,drain TotalCurrent(IdVg_HighVd_n5_des) Y
0.002,1.3283418e-14
0.00458,1.3153762e-14
0.0079082,1.2988053e-14
0.012201578,1.2776877e-14
0.017740036,1.2508767e-14
0.024884646,1.2170033e-14
0.034101193,1.174464e-14
0.045990539,1.1214888e-14
0.061327796,1.0561633e-14
0.081112856,9.763254e-15
0.10663558,8.8258173e-15
0.13904945,7.7674049e-15
0.17904945,6.6045115e-15
0.21904945,5.6060304e-15
0.25904945,4.774857e-15
0.29904945,4.005668e-15
0.33904945,3.5512493e-15
0.37904945,3.4964435e-15
0.41904945,4.3977408e-15
0.45904945,7.8968661e-15
0.49904945,1.8507034e-14
0.53904945,4.8517098e-14
0.57904945,1.3219446e-13
0.61904945,3.6475736e-13
0.65904945,1.0097566e-12
0.69904945,2.7915701e-12
0.73904945,7.6756361e-12
0.77904945,2.091156e-11
0.81904945,5.6273548e-11
0.85904945,1.492255e-10
0.89904945,3.8931394e-10
0.93904945,9.9800569e-10
0.97904945,2.5097517e-09
1.0190494,6.1731834e-09
1.0590494,1.4768238e-08
1.0990494,3.4024237e-08
1.1390494,7.4347607e-08
1.1790494,1.5122097e-07
1.2190494,2.8179087e-07
1.2590494,4.7838766e-07
1.2990494,7.4444682e-07
1.3390494,1.07581e-06
1.3790494,1.4645258e-06
1.4190494,1.9018661e-06
1.4590494,2.3798019e-06
1.4990494,2.891468e-06
1.5390494,3.4311624e-06
1.5790494,3.9941906e-06
1.6190494,4.5766792e-06
1.6590494,5.1754017e-06
1.6990494,5.7876379e-06
1.7390494,6.4110599e-06
1.7790494,7.043648e-06
1.8190494,7.6836368e-06
1.8590494,8.3294783e-06
1.8990494,8.9798178e-06
1.9390494,9.633479e-06
1.9790494,1.028945e-05
2,1.063365e-05
