drain TotalCurrent(IdVg_LowVd_Full_n5_des) X,drain TotalCurrent(IdVg_LowVd_Full_n5_des) Y
0.002,2.2360264e-17
0.00458,1.7530628e-17
0.0079082,1.7241941e-17
0.012201578,1.6876265e-17
0.017740036,1.6415772e-17
0.024884646,1.5840529e-17
0.034101193,1.5130045e-17
0.045990539,1.4267185e-17
0.061327796,1.3246843e-17
0.081112856,1.2096714e-17
0.10663558,1.0932612e-17
0.1395599,1.0147335e-17
0.1795599,1.101488e-17
0.2195599,1.6141834e-17
0.2595599,3.1700677e-17
0.2995599,7.4118473e-17
0.3395599,1.8740843e-16
0.3795599,4.9035854e-16
0.4195599,1.3057845e-15
0.4595599,3.516152e-15
0.4995599,9.5454241e-15
0.5395599,2.6076101e-14
0.5795599,7.1572782e-14
0.6195599,1.9706587e-13
0.6595599,5.4310031e-13
0.6995599,1.4930589e-12
0.7395599,4.0746625e-12
0.7795599,1.0971512e-11
0.8195599,2.9030428e-11
0.8595599,7.5071729e-11
0.8995599,1.8938298e-10
0.9395599,4.6545937e-10
0.9795599,1.1143428e-09
1.0195599,2.5979318e-09
1.0595599,5.8908074e-09
1.0995599,1.2950315e-08
1.1395599,2.7432578e-08
1.1795599,5.5445238e-08
1.2195599,1.0555831e-07
1.2595599,1.8684967e-07
1.2995599,3.0474581e-07
1.3395599,4.5695058e-07
1.3795599,6.3294647e-07
1.4195599,8.1822282e-07
1.4595599,1.0001829e-06
1.4995599,1.1713381e-06
1.5395599,1.3288927e-06
1.5795599,1.4728694e-06
1.6195599,1.6045219e-06
1.6595599,1.7254406e-06
1.6995599,1.8371544e-06
1.7395599,1.9409971e-06
1.7795599,2.0380834e-06
1.8195599,2.1293294e-06
1.8595599,2.2154842e-06
1.8995599,2.2971633e-06
1.9395599,2.3748749e-06
1.9795599,2.4490421e-06
2,2.48569e-06
