drain TotalCurrent(IdVg_HighVd_n5_des) X,drain TotalCurrent(IdVg_HighVd_n5_des) Y
0.002,1.0148724e-14
0.00458,1.0043641e-14
0.0079082,9.9097959e-15
0.012201578,9.7399549e-15
0.017740036,9.5254626e-15
0.024884646,9.2562235e-15
0.034101193,8.9207296e-15
0.045990539,8.506805e-15
0.061327796,8.0026665e-15
0.081112856,7.3971673e-15
0.10663558,6.6821014e-15
0.1395599,5.8481785e-15
0.1795599,5.0066901e-15
0.2195599,4.2355713e-15
0.2595599,3.6068304e-15
0.2995599,3.0704951e-15
0.3395599,2.6527203e-15
0.3795599,2.4254078e-15
0.4195599,2.7791352e-15
0.4595599,4.3507331e-15
0.4995599,9.0607483e-15
0.5395599,2.1720338e-14
0.5795599,5.5246028e-14
0.6195599,1.4309185e-13
0.6595599,3.7453356e-13
0.6995599,9.7837645e-13
0.7395599,2.5412917e-12
0.7795599,6.5355119e-12
0.8195599,1.6577296e-11
0.8595599,4.1346132e-11
0.8995599,1.0120105e-10
0.9395599,2.4283691e-10
0.9795599,5.7098907e-10
1.0195599,1.3151444e-09
1.0595599,2.9652091e-09
1.0995599,6.5347324e-09
1.1395599,1.4036377e-08
1.1795599,2.9241943e-08
1.2195599,5.8642824e-08
1.2595599,1.120883e-07
1.2995599,2.0204665e-07
1.3395599,3.4078497e-07
1.3795599,5.3667182e-07
1.4195599,7.9218244e-07
1.4595599,1.1046375e-06
1.4995599,1.468359e-06
1.5395599,1.8766385e-06
1.5795599,2.322921e-06
1.6195599,2.8013261e-06
1.6595599,3.3067816e-06
1.6995599,3.8349776e-06
1.7395599,4.3822552e-06
1.7795599,4.9454833e-06
1.8195599,5.5219559e-06
1.8595599,6.1093167e-06
1.8995599,6.7055111e-06
1.9395599,7.3087538e-06
1.9795599,7.917505e-06
2,8.2302723e-06
