drain TotalCurrent(IdVg_HighVd_n5_des) X,drain TotalCurrent(IdVg_HighVd_n5_des) Y
0.002,1.2992736e-14
0.00458,1.2863813e-14
0.0079082,1.2699111e-14
0.012201578,1.2489319e-14
0.017740036,1.2223122e-14
0.024884646,1.1887064e-14
0.034101193,1.1465492e-14
0.045990539,1.0940382e-14
0.061327796,1.029381e-14
0.081112856,9.5002694e-15
0.10663558,8.5449291e-15
0.1395599,7.514375e-15
0.1795599,6.3827529e-15
0.2195599,5.3922726e-15
0.2595599,4.5638127e-15
0.2995599,3.8857781e-15
0.3395599,3.4289993e-15
0.3795599,3.3802379e-15
0.4195599,4.296204e-15
0.4595599,7.9619327e-15
0.4995599,1.8838391e-14
0.5395599,4.9521012e-14
0.5795599,1.3511335e-13
0.6195599,3.7285437e-13
0.6595599,1.0319366e-12
0.6995599,2.8516247e-12
0.7395599,7.8361917e-12
0.7795599,2.1335315e-11
0.8195599,5.7378078e-11
0.8595599,1.5206523e-10
0.8995599,3.9650555e-10
0.9395599,1.0159049e-09
0.9795599,2.5534003e-09
1.0195599,6.2768595e-09
1.0595599,1.5005626e-08
1.0995599,3.4539195e-08
1.1395599,7.5379934e-08
1.1795599,1.5308302e-07
1.2195599,2.8476586e-07
1.2595599,4.8261907e-07
1.2995599,7.4992051e-07
1.3395599,1.0824169e-06
1.3795599,1.4721297e-06
1.4195599,1.9103415e-06
1.4595599,2.3890499e-06
1.4995599,2.9014175e-06
1.5395599,3.4417674e-06
1.5795599,4.0054252e-06
1.6195599,4.5885318e-06
1.6595599,5.1878707e-06
1.6995599,5.8007279e-06
1.7395599,6.4247777e-06
1.7795599,7.058004e-06
1.8195599,7.6986435e-06
1.8595599,8.3451482e-06
1.8995599,8.9961638e-06
1.9395599,9.6505132e-06
1.9795599,1.0307183e-05
2,1.0643355e-05
