DopingConcentration(C2(n4_msh)) X,DopingConcentration(C2(n4_msh)) Y
1.4901161e-09,9.99e+19
0.0014062501,9.9308857e+19
0.0028125001,9.7556312e+19
0.0042187502,9.4703793e+19
0.0056250002,9.08497e+19
0.0070312498,8.6123765e+19
0.0084375003,8.0679815e+19
0.0098437499,7.4687478e+19
0.01125,6.8323467e+19
0.01265625,6.1763064e+19
0.0140625,5.5172351e+19
0.01546875,4.8701661e+19
0.016875001,4.2480566e+19
0.018281249,3.6614567e+19
0.0196875,3.1183516e+19
0.02109375,2.6241643e+19
0.022500001,2.1818979e+19
0.02390625,1.7923865e+19
0.0253125,1.4546225e+19
0.026718751,1.1661254e+19
0.028124999,9.2332251e+18
0.02953125,7.2191389e+18
0.0309375,5.5720285e+18
0.032343749,4.2437715e+18
0.033750001,3.1873482e+18
0.03515625,2.3585248e+18
0.036562499,1.7169946e+18
0.037968751,1.2270364e+18
0.039375,8.5777216e+17
0.040781248,5.8311171e+17
0.041484375,4.7434825e+17
0.041835938,4.260588e+17
0.042187501,3.8147242e+17
0.042539064,3.4033851e+17
0.042890623,3.0242047e+17
0.043242186,2.6749513e+17
0.043593749,2.3535227e+17
0.043945313,2.0579406e+17
0.044296876,1.7863456e+17
0.044648439,1.5369917e+17
0.045000002,1.3082415e+17
0.045351561,1.0985609e+17
0.045703124,9.0651426e+16
0.046054687,7.3075927e+16
0.04640625,5.700425e+16
0.046757814,4.2319459e+16
0.047109377,2.8912579e+16
0.047460936,1.6682155e+16
0.047812499,5.5338358e+15
0.048,192
0.048,192
0.048164062,-4.6200391e+15
0.048515625,-1.3860828e+16
0.048867188,-2.2263966e+16
0.049218751,-2.9899325e+16
0.049570311,-3.683156e+16
0.049921874,-4.3120438e+16
0.050273437,-4.8821156e+16
0.050625,-5.3984639e+16
0.050976563,-5.8657824e+16
0.051328126,-6.2883932e+16
0.051679686,-6.6702723e+16
0.052031249,-7.0150736e+16
0.052382812,-7.3261523e+16
0.052734375,-7.606586e+16
0.053085938,-7.8591949e+16
0.053437501,-8.0865612e+16
0.053789064,-8.2910469e+16
0.054140624,-8.4748103e+16
0.05484375,-8.7878798e+16
0.056249999,-9.2412006e+16
0.057656251,-9.5305835e+16
0.0590625,-9.7130277e+16
0.060468748,-9.8266309e+16
0.061875001,-9.8964968e+16
0.064687498,-9.9643985e+16
0.067500003,-9.9883216e+16
0.073124997,-9.99891e+16
