X_um,abse_31nm,abse_36nm,abse_41nm
0.0,368955.5,316728.29,277344.68
0.001562497,368472.17,316260.41,276893.55
0.0015625,368472.16,316260.41,276893.55
0.003124997,371159.63,318269.72,278367.45
0.003125,371159.63,318269.72,278367.45
0.0046874974,375922.23,321872.45,281055.24
0.0046875002,375922.23,321872.46,281055.25
0.0062499973,382864.69,327165.34,285044.46
0.0062500001,382864.71,327165.35,285044.47
0.0078124972,392030.21,334192.85,290375.31
0.0078125,392030.23,334192.86,290375.32
0.0093749976,403443.63,342986.77,297077.36
0.0093750004,403443.65,342986.79,297077.37
0.010937497,417133.39,353587.05,305188.97
0.0109375,417133.42,353587.07,305188.99
0.012499997,433136.56,366047.99,314763.43
0.0125,433136.59,366048.02,314763.45
0.014062497,451495.32,380438.3,325869.79
0.0140625,451495.36,380438.33,325869.81
0.015624997,472248.07,396837.92,338591.36
0.015625,472248.11,396837.95,338591.39
0.017187497,495416.52,415333.91,353024.14
0.0171875,495416.56,415333.94,353024.16
0.018749997,520986.62,436014.31,369274.48
0.018750001,520986.67,436014.35,369274.51
0.020312496,548882.49,458960.06,387456.76
0.020312499,548882.54,458960.1,387456.8
0.021874996,578930.29,484232.67,407689.55
0.021875,578930.35,484232.72,407689.59
0.023437496,610813.31,511856.94,430090.72
0.0234375,610813.37,511857.0,430090.77
0.024999997,644021.43,541795.27,454769.33
0.025,644021.5,541795.33,454769.37
0.026562497,677811.29,573912.97,481814.34
0.026562501,677811.36,573913.04,481814.4
0.028124996,711212.72,607938.77,511282.42
0.028124999,711212.78,607938.84,511282.48
0.029687496,743136.52,643861.03,543673.81
0.0296875,743136.59,643861.11,543673.88
0.029687505,743136.68,643861.22,543673.98
0.03125,773872.7,680203.24,576921.44
0.032031246,786052.1,697829.39,595514.92
0.032031249,786052.18,697829.49,595515.02
0.032812495,798765.87,715813.46,614075.6
0.032812499,798765.92,715813.53,614075.67
0.033593748,810690.1,733504.76,633068.93
0.033593751,810690.15,733504.83,633069.0
0.034374997,821837.01,750776.03,652437.24
0.034375001,821837.05,750776.1,652437.31
0.035156246,832234.47,767492.13,672081.96
0.03515625,832234.5,767492.2,672082.03
0.035937496,841917.77,783525.6,691876.97
0.035937499,841917.8,783525.66,691877.04
0.036718745,850921.94,798762.99,711670.33
0.036718749,850921.97,798763.05,711670.4
0.037499998,859274.15,813107.03,731284.83
0.037500001,859274.18,813107.08,731284.9
0.038281247,866986.43,826474.64,750519.25
0.038281251,866986.46,826474.69,750519.33
0.039062496,874048.65,838791.22,769150.61
0.0390625,874048.67,838791.26,769150.67
0.039843746,880422.01,849981.95,786937.04
0.039843749,880422.02,849981.99,786937.1
0.040624995,886033.24,859961.53,803621.13
0.040624999,886033.25,859961.57,803621.19
0.041406248,890770.08,868624.14,818933.01
0.041406251,890770.09,868624.17,818933.06
0.042187497,894478.89,875835.42,832593.2
0.042187501,894478.9,875835.45,832593.25
0.042968746,896966.02,881428.74,844316.1
0.04296875,896966.02,881428.75,844316.14
0.043749996,898004.52,885207.8,853815.69
0.043749999,898004.52,885207.81,853815.72
0.044531245,897348.47,886957.86,860816.19
0.044531249,897348.46,886957.86,860816.21
0.045312498,894755.93,886466.7,865070.03
0.045312501,894755.92,886466.69,865070.04
0.046093747,890020.18,883554.84,866383.79
0.046093751,890020.16,883554.82,866383.79
0.046874996,883005.36,878111.08,864649.42
0.046875,883005.33,878111.06,864649.41
0.047656246,873678.94,870125.48,859873.59
0.047656249,873678.91,870125.45,859873.57
0.048437495,862130.9,859709.3,852194.92
0.048437499,862130.86,859709.26,852194.89
0.049218748,848571.01,847093.15,841879.63
0.049218751,848570.97,847093.1,841879.59
0.049999997,833303.2,832601.69,829294.06
0.050000001,833303.15,832601.64,829294.01
0.050781246,816685.34,816613.4,814861.8
0.05078125,816685.28,816613.34,814861.75
0.051562496,799087.3,799518.16,799018.72
0.051562499,799087.24,799518.1,799018.67
0.052343745,780857.15,781682.98,782176.41
0.052343749,780857.09,781682.92,782176.35
0.053124998,762299.79,763430.09,764698.52
0.053125001,762299.72,763430.02,764698.46
0.053906247,743667.16,745026.91,746889.71
0.053906251,743667.09,745026.84,746889.65
0.054687496,725157.36,726685.04,728994.12
0.0546875,725157.3,726684.97,728994.06
0.055468746,706919.11,708564.74,711199.88
0.055468749,706919.04,708564.67,711199.82
0.056249995,689058.85,690782.2,693646.63
0.056249999,689058.78,690782.13,693646.57
0.057031248,671648.62,673417.56,676434.0
0.057031251,671648.56,673417.5,676433.94
0.057812497,654733.51,656522.62,659629.83
0.057812501,654733.45,656522.55,659629.76
0.058593746,638338.14,640127.47,643277.31
0.05859375,638338.08,640127.41,643277.25
0.059374996,622472.06,624246.15,627401.09
0.059374999,622472.0,624246.09,627401.03
0.060156245,607134.0,608881.01,612012.13
0.060156249,607133.94,608880.95,612012.07
0.060937498,592315.2,594026.22,597111.48
0.060937501,592315.14,594026.16,597111.43
0.061718747,578001.85,579670.33,582693.24
0.061718751,578001.8,579670.27,582693.19
0.062499996,564176.98,565798.24,568746.73
0.0625,564176.93,565798.19,568746.68
0.063281253,550821.76,552392.65,555258.14
0.064062499,537916.44,539435.0,542211.73
0.064843751,525441.07,526906.28,529590.68
0.065624997,513375.93,514787.52,517377.75
0.06640625,501701.81,503060.09,505555.68
0.067187503,490400.19,491705.92,494107.42
0.067968749,479452.94,480707.22,483016.01
0.068750001,468840.37,470044.5,472262.47
0.069531247,458529.35,459684.51,461813.42
0.0703125,446847.12,447909.26,449865.76
0.071874991,430290.74,431313.7,433200.56
