X_um,ex_31nm,ex_36nm,ex_41nm
0.0,3845.5367,2964.619,2243.8578
0.001562497,10298.363,8061.1898,6230.9734
0.0015625,10298.378,8061.2009,6230.982
0.003124997,20535.499,16061.307,12390.198
0.003125,20535.522,16061.324,12390.211
0.0046874974,30644.03,23975.166,18476.44
0.0046875002,30644.053,23975.184,18476.454
0.0062499973,40766.299,31945.079,24621.914
0.0062500001,40766.322,31945.097,24621.927
0.0078124972,51026.695,40101.315,30949.185
0.0078125,51026.718,40101.334,30949.199
0.0093749976,61504.87,48541.256,37553.802
0.0093750004,61504.894,48541.275,37553.816
0.010937497,72237.93,57334.436,44510.357
0.0109375,72237.955,57334.456,44510.372
0.012499997,83225.602,66530.633,51881.39
0.0125,83225.627,66530.654,51881.407
0.014062497,94430.83,76164.64,59723.607
0.0140625,94430.856,76164.661,59723.624
0.015624997,105774.35,86256.565,68090.619
0.015625,105774.37,86256.588,68090.637
0.017187497,117124.97,96809.045,77033.662
0.0171875,117124.99,96809.069,77033.682
0.018749997,128286.51,107801.3,86600.424
0.018750001,128286.54,107801.32,86600.445
0.020312496,138984.54,119180.8,96832.757
0.020312499,138984.56,119180.83,96832.78
0.021874996,148856.94,130851.93,107762.6
0.021875,148856.96,130851.95,107762.62
0.023437496,157458.22,142662.7,119406.41
0.0234375,157458.24,142662.72,119406.43
0.024999997,164290.72,154390.1,131756.91
0.025,164290.73,154390.12,131756.93
0.026562497,168879.92,165726.34,144770.53
0.026562501,168879.93,165726.36,144770.55
0.028124996,170905.01,176271.15,158348.49
0.028124999,170905.02,176271.18,158348.52
0.029687496,173898.86,189683.73,176059.68
0.0296875,173898.86,189683.76,176059.72
0.029687505,173898.83,189683.76,176059.74
0.03125,166846.07,189385.99,181356.04
0.032031246,165941.43,196015.02,193711.21
0.032031249,165941.42,196015.05,193711.26
0.032812495,164355.6,198682.22,200794.89
0.032812499,164355.59,198682.23,200794.92
0.033593748,162996.98,200953.53,207810.97
0.033593751,162996.97,200953.54,207811.0
0.034374997,162071.59,202934.51,214770.48
0.034375001,162071.58,202934.52,214770.5
0.035156246,161779.29,204757.68,221674.87
0.03515625,161779.29,204757.69,221674.9
0.035937496,162307.54,206589.54,228534.27
0.035937499,162307.53,206589.54,228534.3
0.036718745,163827.77,208626.43,235374.42
0.036718749,163827.77,208626.43,235374.45
0.037499998,166493.66,211085.74,242241.56
0.037500001,166493.67,211085.75,242241.59
0.038281247,170440.0,214194.14,249206.0
0.038281251,170440.02,214194.14,249206.02
0.039062496,175781.05,218174.1,256363.09
0.0390625,175781.07,218174.11,256363.11
0.039843746,182607.26,223229.64,263830.31
0.039843749,182607.29,223229.66,263830.33
0.040624995,190979.42,229531.54,271738.75
0.040624999,190979.44,229531.56,271738.78
0.041406248,200919.35,237201.96,280218.32
0.041406251,200919.38,237201.98,280218.34
0.042187497,212397.17,246298.15,289376.45
0.042187501,212397.21,246298.18,289376.48
0.042968746,225315.47,256795.41,299272.08
0.04296875,225315.51,256795.44,299272.11
0.043749996,239492.58,268570.53,309887.89
0.043749999,239492.63,268570.57,309887.92
0.044531245,254648.52,281388.98,321105.99
0.044531249,254648.57,281389.02,321106.02
0.045312498,270399.21,294900.66,332693.5
0.045312501,270399.26,294900.7,332693.54
0.046093747,286265.64,308650.65,344305.29
0.046093751,286265.69,308650.7,344305.32
0.046874996,301703.18,322110.03,355509.13
0.046875,301703.23,322110.07,355509.16
0.047656246,316151.63,334727.17,365833.96
0.047656249,316151.68,334727.21,365833.99
0.048437495,329098.32,345992.05,374833.05
0.048437499,329098.36,345992.08,374833.08
0.049218748,340138.43,355497.71,382146.12
0.049218751,340138.47,355497.74,382146.14
0.049999997,349014.94,362981.35,387542.23
0.050000001,349014.97,362981.37,387542.25
0.050781246,355628.23,368335.02,390932.98
0.05078125,355628.25,368335.04,390932.99
0.051562496,360018.16,371588.75,392358.24
0.051562499,360018.18,371588.76,392358.24
0.052343745,362329.62,372876.84,391955.05
0.052343749,362329.62,372876.84,391955.05
0.053124998,362773.73,372399.81,389921.66
0.053125001,362773.73,372399.8,389921.65
0.053906247,361593.38,370390.28,386485.2
0.053906251,361593.37,370390.27,386485.19
0.054687496,359036.98,367087.07,381877.06
0.0546875,359036.97,367087.06,381877.04
0.055468746,355341.08,362717.95,376316.57
0.055468749,355341.07,362717.94,376316.55
0.056249995,350720.5,357489.77,370001.8
0.056249999,350720.48,357489.75,370001.78
0.057031248,345363.87,351584.07,363105.62
0.057031251,345363.86,351584.05,363105.59
0.057812497,339432.99,345156.32,355775.1
