MEB_nm,evidence_type,node,canonical_filename,source_chat_file_id
36,BTBT_hotspot,n119_des,36nm_btbt_hotspot.png,file_0000000056a082118454f9221d77410e
36,mesh_full,n2_msh,36nm_mesh_full.png,file_000000007a28821189a991e638799269
36,mesh_zoom,n2_msh,36nm_mesh_zoom.png,file_0000000011b482119fba884a77e74130
41,BTBT_hotspot,n120_des,41nm_btbt_hotspot.png,file_0000000082788211a5432d2bee71ae08
41,mesh_full,n33_msh,41nm_mesh_full.png,file_000000003e2482118514efc413678f3b
41,mesh_zoom,n33_msh,41nm_mesh_zoom.png,file_000000006ee88211a212c6c3cc09ad63
43,BTBT_hotspot,n121_des,43nm_btbt_hotspot.png,file_0000000038848211a5d76152d10412e9
43,mesh_full,n108_msh,43nm_mesh_full.png,file_0000000096388230b805e2e20a354088
43,mesh_zoom,n108_msh,43nm_mesh_zoom.png,file_00000000a75882119a6579cefa3a5854
45,BTBT_hotspot,n122_des,45nm_btbt_hotspot.png,file_000000004d4c82118a9b24cc9fa520af
45,mesh_full,n110_msh,45nm_mesh_full.png,file_0000000009ac8211b2fe6160e8d1a360
45,mesh_zoom,n110_msh,45nm_mesh_zoom.png,file_00000000d2088211bac4864f21ad938c
47,BTBT_hotspot,n123_des,47nm_btbt_hotspot.png,file_0000000066fc8211b1ab8e51f387a647
47,mesh_full,n112_msh,47nm_mesh_full.png,file_000000009a788211913a7a78b5539b35
47,mesh_zoom,n112_msh,47nm_mesh_zoom.png,file_000000001af482088ee02a9bee42ac7b
48,BTBT_hotspot,n124_des,48nm_btbt_hotspot.png,file_00000000b4548211a672d51ea54acaf8
48,mesh_full,n114_msh,48nm_mesh_full.png,file_0000000038a08211b9cbd38f3718d717
48,mesh_zoom,n114_msh,48nm_mesh_zoom.png,file_0000000033548211b1ee5ce24bcce8bb
49,BTBT_hotspot,n125_des,49nm_btbt_hotspot.png,file_00000000390482118319b051b4e72612
49,mesh_full,n116_msh,49nm_mesh_full.png,file_00000000d11c8211ae9e44ad87b3e2d9
49,mesh_zoom,n116_msh,49nm_mesh_zoom.png,file_0000000008ec8211b186c27c9fbb24c1
51,BTBT_hotspot,n126_des,51nm_btbt_hotspot.png,file_0000000013a08206a097b05c3c9f9e46
51,mesh_full,n118_msh,51nm_mesh_full.png,file_00000000c8d88211a6396ef1309a43d0
51,mesh_zoom,n118_msh,51nm_mesh_zoom.png,file_00000000d2048208a6424b85a4143ba6
