node,AreaFactor,VWL_ON_V,Twrite_ns,hold_start_time_s,hold_end_time_s,VSN_write_peak_V,VSN_hold_start_V,VSN_hold_100ns_V,Delta_VSN_100ns_V,abs_delta_VSN_100ns_V,Loss_pct,abs_loss_pct,points
178,0.011,1.5,100,1.02e-07,2.02e-07,0.137145184879016,0.136433463083663,0.136433463083337,3.25517390820096e-13,3.25517390820096e-13,2.38590579952138e-10,2.38590579952138e-10,1001
190,0.011,1.5,200,2.02e-07,3.02e-07,0.171149761040284,0.170501586944193,0.170501586944427,-2.33951746864136e-13,2.33951746864136e-13,-1.37213823669988e-10,1.37213823669988e-10,1001
202,0.011,1.5,300,3.02e-07,4.02e-07,0.19064172309186,0.189960342277152,0.189960342276794,3.57741614109841e-13,3.57741614109841e-13,1.88324368034617e-10,1.88324368034617e-10,1001
179,0.011,2,100,1.02e-07,2.02e-07,0.401873586061288,0.400957142706407,0.400957142705821,5.85698156641001e-13,5.85698156641001e-13,1.46075002601928e-10,1.46075002601928e-10,1001
191,0.011,2,200,2.02e-07,3.02e-07,0.445628830295613,0.444792563519755,0.444792563519635,1.20403687020598e-13,1.20403687020598e-13,2.70696268093634e-11,2.70696268093634e-11,1001
203,0.011,2,300,3.02e-07,4.02e-07,0.469358261906458,0.468481042831354,0.468481042830694,6.60027588139656e-13,6.60027588139656e-13,1.40886722790458e-10,1.40886722790458e-10,1001
180,0.011,2.5,100,1.02e-07,2.02e-07,0.64469023528327,0.643558516732019,0.643558516730258,1.76136882856781e-12,1.76136882856781e-12,2.73692101459867e-10,2.73692101459867e-10,1001
192,0.011,2.5,200,2.02e-07,3.02e-07,0.695639825346474,0.69460277563883,0.694602775636168,2.66198174614374e-12,2.66198174614374e-12,3.83237994362389e-10,3.83237994362389e-10,1001
204,0.011,2.5,300,3.02e-07,4.02e-07,0.723675680984976,0.722591150602744,0.722591150598271,4.47297754391229e-12,4.47297754391229e-12,6.19019142454373e-10,6.19019142454373e-10,1001
181,0.011,3,100,1.02e-07,2.02e-07,0.832466278735524,0.831090952142118,0.831090952122242,1.98764338321666e-11,1.98764338321666e-11,2.39160753476326e-09,2.39160753476326e-09,1001
