temperature_K,node,twrite_s,thold_s,vsn_hold_start_V,vsn_hold_end_V,delta_vsn_V,loss_percent,ceq_leakage_A,status
300,,6.67e-7,1.0e-7,1.000017733,1.000017732,2.70e-10,2.6999521e-8,2.70e-17,PASS
300,,6.67e-7,1.0e-6,1.000017733,1.000017730,2.702e-9,2.7019521e-7,2.702e-17,PASS
300,,6.67e-7,1.0e-5,1.000017733,1.000017706,2.7020e-8,2.7019521e-6,2.702e-17,PASS
300,,6.67e-7,1.0e-4,1.000017733,1.000017462,2.70195e-7,2.7019021e-5,2.70195e-17,PASS
340,n459,2.58e-7,1.0e-7,1.00010742084782,1.00010742036394,4.838800471418381e-10,4.838280739199384e-8,4.838800471418381e-17,PASS
340,n460,2.58e-7,1.0e-6,1.00010742084782,1.00010741600891,4.838909939408609e-9,4.838390195431731e-7,4.838909939408609e-17,PASS
340,n461,2.58e-7,1.0e-5,1.00010742084782,1.00010737245876,4.838906009219102e-8,4.838386265664363e-6,4.838906009219102e-17,PASS
340,n462,2.58e-7,1.0e-4,1.00010742084782,1.00010693695836,4.838894600567301e-7,4.838374858237957e-5,4.838894600567300e-17,PASS
380,n432,1.2654e-7,1.0e-7,1.00027216486370,1.00027215742472,7.438980098584125e-9,7.436956020462473e-7,7.438980098584125e-16,PASS
380,n433,1.2654e-7,1.0e-6,1.00027216486370,1.00027209047371,7.438999016784464e-8,7.436974933515343e-6,7.438999016784465e-16,PASS
380,n434,1.2654e-7,1.0e-5,1.00027216486370,1.00027142096411,7.438995901498657e-7,7.436971819077177e-5,7.438995901498657e-16,PASS
380,n435,1.2654e-7,1.0e-4,1.00027216486370,1.00026472590256,7.438961139971667e-6,7.436937067008478e-4,7.438961139971667e-16,PASS
