node,AreaFactor,VBL_WRITE_V,VWL_ON_V,Twrite_s,Twrite_ns,VSN_final_V,t_final_s,source_file
182,0.017,1.2,1.5,1e-07,100.0,0.157485269308618,1.03e-07,R7_WRITE_n182_sys_des(1).plt
183,0.017,1.2,2.0,1e-07,100.0,0.428388843745483,1.03e-07,R7_WRITE_n183_sys_des(1).plt
184,0.017,1.2,2.5,1e-07,100.0,0.67534557529407,1.03e-07,R7_WRITE_n184_sys_des(1).plt
185,0.017,1.2,3.0,1e-07,100.0,0.866425521826918,1.03e-07,R7_WRITE_n185_sys_des(1).plt
194,0.017,1.2,1.5,2e-07,200.0,0.190966486840135,2.03e-07,R7_WRITE_n194_sys_des.plt
195,0.017,1.2,2.0,2e-07,200.0,0.469622563890936,2.03e-07,R7_WRITE_n195_sys_des.plt
196,0.017,1.2,2.5,2e-07,200.0,0.72391571847823,2.03e-07,R7_WRITE_n196_sys_des.plt
197,0.017,1.2,3.0,2e-07,200.0,0.919497039517556,2.03e-07,R7_WRITE_n197_sys_des.plt
206,0.017,1.2,1.5,3e-07,300.0,0.209946810714992,3.03e-07,R7_WRITE_n206_sys_des.plt
207,0.017,1.2,2.0,3e-07,300.0,0.492115021314197,3.03e-07,R7_WRITE_n207_sys_des.plt
208,0.017,1.2,2.5,3e-07,300.0,0.750794131158333,3.03e-07,R7_WRITE_n208_sys_des.plt
209,0.017,1.2,3.0,3e-07,300.0,0.948117656879058,3.03e-07,R7_WRITE_n209_sys_des.plt
