temperature_K,twrite_s,vsn_hold_start_V,point_class,status
340,2.00e-7,0.981240,refine,executed
340,2.25e-7,0.990050,refine,executed
340,2.50e-7,0.997802,refine,executed
340,2.58e-7,1.00009888,final_anchor,PASS
340,2.75e-7,1.004730,refine,executed
340,3.00e-7,1.01101,coarse,executed
340,4.00e-7,1.03180,coarse,executed
340,5.00e-7,1.04823,coarse,executed
340,6.00e-7,1.06200,coarse,executed
340,7.00e-7,1.07388,coarse,executed
380,5.00e-8,0.912053,refine,executed
380,7.50e-8,0.952838,refine,executed
380,1.00e-7,0.979427,refine,executed
380,1.25e-7,0.999036,refine,executed
380,1.2654e-7,1.00009202,final_anchor,PASS
380,1.50e-7,1.014647,refine,executed
380,3.00e-7,1.07533,coarse,executed
380,4.00e-7,1.10177,coarse,executed
380,5.00e-7,1.12254,coarse,executed
380,6.00e-7,1.13943,coarse,executed
380,7.00e-7,1.15327,coarse,executed
